nombre_empresa,ciudad,direccion,telefono_principal,email_principal,pagina_web,notas_generales
TechMed Bolivia SRL,Cochabamba,Av. Blanco Galindo km 7.5,+591 4 4223344,ventas@techmed.bo,https://techmed.bo,Distribuidor autorizado de equipos de monitoreo y signos vitales. Garantía 1 año en todos los equipos.
BioSupply Andina,La Paz,"Calle Mercado N° 1234, Zona Sopocachi",+591 2 2445566,info@biosupply.bo,https://biosupply.bo,Repuestos y consumibles para laboratorio clínico. Descuento volumen 10% en pedidos >5000 Bs.
MedEquip Bolivia SA,Santa Cruz,"Tercer Anillo Interno, Av. Roca y Coronado",+591 3 3467788,ventas@medequip.bo,,"Importador de equipos de imagenología (ecógrafos, rayos X). Servicio técnico propio."
LabTech SRL,Cochabamba,Av. América Esq. Esteban Arze,+591 4 4521199,contacto@labtech.bo,https://labtech.bo,"Especialistas en equipos de laboratorio: centrífugas, espectrofotómetros, balanzas analíticas."
Hospimed Bolivia,La Paz,Av. 6 de Agosto N° 2115,+591 2 2150500,ventas@hospimed.bo,https://hospimed.bo,Equipos de terapia intensiva y monitoreo multiparámetro. Servicio 24/7 en UCI.
DentalPro Suministros,Cochabamba,Calle Juan Caprario N° 0456,+591 4 4256677,info@dentalpro.bo,https://dentalpro.bo,"Unidades dentales, autoclaves y consumibles. Cursos de capacitación incluidos."
Roche Diagnostics Bolivia,La Paz,"Av. Mariscal Santa Cruz, Edif. Cámara Nacional",+591 2 2334455,bolivia@roche.com,https://diagnostics.roche.com,Reactivos y equipos de diagnóstico in vitro. Soporte técnico internacional.
Thermo Fisher Andina,Santa Cruz,Parque Industrial Mz 7 Lote 12,+591 3 3528899,andina@thermofisher.com,https://thermofisher.com,"Incubadoras, refrigeradores de laboratorio, centrífugas. Envíos directos desde EEUU."
Steris Bolivia SA,Cochabamba,Av. Petrolera km 4.5,+591 4 4710022,servicio@steris.bo,https://steris.bo,Esterilizadores y autoclaves hospitalarias. Mantenimiento preventivo trimestral.
Olympus Latin America,La Paz,"Av. Arce N° 2798, Edif. Multicentro",+591 2 2773344,latam@olympus.com,https://olympus-latinamerica.com,"Microscopios, endoscopios y equipamiento óptico médico. Garantía internacional 2 años."
Mindray Bolivia,Santa Cruz,Av. San Martín N° 1700,+591 3 3391212,bolivia@mindray.com,https://mindray.com,"Monitores de pacientes, ventiladores y equipos de ultrasonido. Capacitación gratuita."
GE Healthcare Bolivia,Cochabamba,Av. Oquendo N° 1245,+591 4 4533344,bolivia@gehealthcare.com,https://gehealthcare.com,"Equipos de imágenes médicas: TAC, MRI, rayos X digitales. Contratos de servicio anuales."
Zoll Medical Andina,La Paz,Calle Colón N° 1590,+591 2 2314567,andina@zoll.com,https://zoll.com,"Desfibriladores, monitores de reanimación y equipos de emergencia. Curso ACLS incluido."
Hamilton Bolivia,Cochabamba,Av. Blanco Galindo N° 8890,+591 4 4719988,bolivia@hamiltoncompany.com,https://hamiltoncompany.com,"Pipetas, dispensadores y consumibles de precisión. Calibración GRATIS primer año."
Eppendorf Andina,Santa Cruz,Av. Monseñor Rivero N° 550,+591 3 3332211,andina@eppendorf.com,https://eppendorf.com,"Microcentrífugas, pipetas, tubos y consumibles de laboratorio. Garantía 3 años."
Hanna Instruments Bolivia,La Paz,Av. 16 de Julio N° 1730,+591 2 2288776,bolivia@hannainst.com,https://hannainst.com,"Medidores de pH, conductividad y oxígeno disuelto. Soluciones buffer certificadas."
3M Healthcare Bolivia,Cochabamba,Av. Cristo Redentor N° 0990,+591 4 4785566,bolivia@3m.com,https://3m.com,"Electrodos ECG, productos de esterilización y materiales médicos. Distribuidor oficial."
Vidriolab SRL,Cochabamba,Calle Sucre N° 0050,+591 4 4513344,ventas@vidriolab.bo,,"Vidriería de laboratorio: tubos, matraces, pipetas de vidrio. Fabricación a pedido."
Sysmex Latin America,La Paz,Av. Ballivián N° 700,+591 2 2126677,latam@sysmex.com,https://sysmex.com,Analizadores hematológicos y reactivos. Contrato de mantenimiento preventivo anual.
PaperMed Bolivia,Santa Cruz,Av. Argentida N° 2320,+591 3 3367788,info@papermed.bo,,"Papel térmico para monitores, formularios continuos y consumibles. Entrega inmediata."
